Name,Time,Artist,Album,Genre,Plays,Album Artist,Release Date,Track Number,Last Played,Skips,Last Skipped,Date Added,Composer
The Gospel of John Hurt,5:16,alt-J,This Is All Yours,Alternative,,alt-J,22/09/2014,10 of 14,,,,24/09/2014 11:26 PM,
Pusher,3:29,alt-J,This Is All Yours,Alternative,,alt-J,22/09/2014,11 of 14,,,,24/09/2014 11:26 PM,
"Bloodflood, Pt. II",5:19,alt-J,This Is All Yours,Alternative,,alt-J,22/09/2014,12 of 14,,,,24/09/2014 11:26 PM,
Leaving Nara,3:01,alt-J,This Is All Yours,Alternative,,alt-J,22/09/2014,13 of 14,,,,24/09/2014 11:26 PM,
Lovely Day (Bonus Track),4:02,alt-J,This Is All Yours,Alternative,,alt-J,22/09/2014,14 of 14,,,,24/09/2014 11:26 PM,
Flavour Of The Week,3:09,American Hi-Fi,Big Shiny Tunes 6,Rock,,,,3 of 18,,,,7/10/2013 16:13:00,
Sound Pollution,6:30,Andy Hunter,Colour,Electronica/Dance,,,,1,,,,7/10/2013 16:13:00,
Stars (featuring Mark Underdown),5:50,Andy Hunter,Colour,Electronica/Dance,,,,2,,,,7/10/2013 16:13:00,
Shine (featuring Shaz Sparks),5:37,Andy Hunter,Colour,Electronica/Dance,,,,3,,,,7/10/2013 16:13:00,
Miracle,6:13,Andy Hunter,Colour,Electronica/Dance,,,,4,,,,7/10/2013 16:13:00,
System Error,5:44,Andy Hunter,Colour,Electronica/Dance,,,,5,,,,7/10/2013 16:13:00,
Smile (featuring Midge Ure),4:42,Andy Hunter,Colour,Electronica/Dance,,,,6,,,,7/10/2013 16:13:00,
Technicolour (featuring D'Morgan),6:11,Andy Hunter,Colour,Electronica/Dance,,,,7,,,,7/10/2013 16:13:00,
Together,4:43,Andy Hunter,Colour,Electronica/Dance,,,,8,,,,7/10/2013 16:13:00,
Fade (featuring Cathy Burton),4:13,Andy Hunter,Colour,Electronica/Dance,,,,9,,,,7/10/2013 16:13:00,
Sapphire,4:11,Andy Hunter,Colour,Electronica/Dance,,,,10,,,,7/10/2013 16:13:00,
Out Of Control,6:29,Andy Hunter,Colour,Electronica/Dance,,,,11,,,,7/10/2013 16:13:00,
You,7:04,Andy Hunter,Colour,Electronica/Dance,,,,12,,,,7/10/2013 16:13:00,
Aborigination,6:05,Andy Hunter & Hydro,Aborigination,Electronic,1,Andy Hunter & Hydro,6/3/1998,1 of 12,4/12/2014 15:33:00,,,11/1/2009 23:28:00,
